Race,Correlation,P_Value,Significant
WHITE,-0.25388836798375214,0.4258749374427887,False
BLACK,-0.22720883906345118,0.4775956803434136,False
LATINE,-0.22097618395286073,0.490077168674782,False
ASIAN,-0.21907344675188267,0.49391668758094137,False
