Lag_Months,Lag_Label,Correlation,P_Value
0,Contemporaneous,-0.046673639277610736,1.3437256047508467e-17
1,1-month lag,-0.04873145152754914,4.798407835530963e-19
3,3-month lag,-0.05286345787666017,3.8920270205652675e-22
6,6-month lag,-0.058929330353842097,4.0177533628663025e-27
12,12-month lag,-0.07002697847527775,1.2413383308612737e-37
