Year,Race_Ethnicity_Cleaned,Deaths,Race,Population,Rate_Per_100k,Median_Gross_Rent,Median_Home_Value,Median_Income,Rent_Burden_Pct,Home_Value_to_Income
2018,LATINE,370,LATINE,4915287.0,7.53,1479.0,625200.0,57125.0,31.07,10.94
2018,BLACK,176,BLACK,783932.0,22.45,1479.0,625200.0,48519.0,36.58,12.89
2018,ASIAN,44,ASIAN,1473462.0,2.99,1479.0,625200.0,78972.0,22.47,7.92
2018,OTHER,12,,,,1479.0,625200.0,,,
2018,UNKNOWN,14,,,,1479.0,625200.0,,,
2019,WHITE,635,WHITE,2596980.0,24.45,1577.0,644100.0,92457.0,20.47,6.97
2019,LATINE,484,LATINE,4881970.0,9.91,1577.0,644100.0,61174.0,30.93,10.53
2019,BLACK,217,BLACK,777195.0,27.92,1577.0,644100.0,52136.0,36.3,12.35
2019,ASIAN,32,ASIAN,1456809.0,2.2,1577.0,644100.0,86544.0,21.87,7.44
2019,OTHER,23,,,,1577.0,644100.0,,,
2019,UNKNOWN,7,,,,1577.0,644100.0,,,
2020,WHITE,933,WHITE,2563609.0,36.39,,,,,
2020,LATINE,874,LATINE,5209246.0,16.78,,,,,
2020,BLACK,435,BLACK,760689.0,57.18,,,,,
2020,ASIAN,79,ASIAN,1474237.0,5.36,,,,,
2020,OTHER,53,,,,,,,,
2020,UNKNOWN,21,,,,,,,,
2021,WHITE,1146,WHITE,2420466.0,47.35,1711.0,720300.0,95193.0,21.57,7.57
2021,LATINE,1082,LATINE,4824989.0,22.42,1711.0,720300.0,66929.0,30.68,10.76
2021,BLACK,536,BLACK,722464.0,74.19,1711.0,720300.0,51841.0,39.61,13.89
2021,ASIAN,72,ASIAN,1434374.0,5.02,1711.0,720300.0,90448.0,22.7,7.96
2021,OTHER,53,,,,1711.0,720300.0,,,
2021,UNKNOWN,26,,,,1711.0,720300.0,,,
2022,WHITE,1136,WHITE,2380266.0,47.73,1805.0,805600.0,104421.0,20.74,7.71
2022,LATINE,1208,LATINE,4766616.0,25.34,1805.0,805600.0,71300.0,30.38,11.3
2022,BLACK,630,BLACK,712156.0,88.46,1805.0,805600.0,58576.0,36.98,13.75
2022,ASIAN,95,ASIAN,1432462.0,6.63,1805.0,805600.0,95764.0,22.62,8.41
2022,OTHER,73,,,,1805.0,805600.0,,,
2022,UNKNOWN,43,,,,1805.0,805600.0,,,
2023,WHITE,1007,WHITE,2369899.0,42.49,1896.0,828700.0,107041.0,21.26,7.74
2023,LATINE,1144,LATINE,4695902.0,24.36,1896.0,828700.0,75772.0,30.03,10.94
2023,BLACK,606,BLACK,709583.0,85.4,1896.0,828700.0,60696.0,37.49,13.65
2023,ASIAN,87,ASIAN,1454666.0,5.98,1896.0,828700.0,100119.0,22.72,8.28
2023,OTHER,27,,,,1896.0,828700.0,,,
2023,UNKNOWN,90,,,,1896.0,828700.0,,,
