Model,R²,Variance_Explained_%,N_Predictors
Supply-Side Only,0.9894975941461451,98.94975941461452,3
Demand-Side Only,0.9339189786004891,93.39189786004891,2
Full Model (Both),0.9966123190400952,99.66123190400951,5
