Indicator,Correlation,P_value,Significant,Abs_Correlation
Fentanyl_Prevalence_%,0.9860780249687613,2.543247466793078e-08,✓,0.9860780249687613
Cocaine_Fentanyl_Prevalence_%,0.9693317296059919,8.676322419432738e-07,✓,0.9693317296059919
Median_Income,0.937527223493694,2.0357077414582826e-05,✓,0.937527223493694
Mean_Complexity,0.9336470568278259,2.6546389235946662e-05,✓,0.9336470568278259
Poverty_Rate_%,-0.6393834445229221,0.0341571896631214,✓,0.6393834445229221
