Year,ASIAN,BLACK,LATINE,WHITE
2021,5.019611342648431,74.19054790273287,22.42492159049482,47.3462548120899
2022,6.63193857847538,88.46376355742281,25.342926722018305,47.72575838162626
2023,5.9807543449836595,85.40227147493668,24.361666832059104,42.491262285861126
