Race_Ethnicity_Cleaned,Rate_2019,Rate_2020,Absolute_Change,Percent_Change
WHITE,24.45147825551217,36.394005482115254,11.942527226603083,48.84173914479319
LATINE,9.914030606496969,16.77785998203963,6.863829375542661,69.23348986883884
BLACK,27.920920747045464,57.18499938871207,29.264078641666607,104.81057880142895
ASIAN,2.1965817070048304,5.358704197493347,3.162122490488517,143.9565157264402
