Period,mean,median,std
Pre-Pandemic (2012-2019),1.4220769995738032,1.0,0.7208392020385291
Pandemic (2020-2021),1.6342749529190208,1.0,0.7792469666956052
Post-Pandemic (2022-2023),1.647250244061178,2.0,0.7518069936869801
