Age_Group_Custom,Correlation,P_value,N
<25,-0.2907335330267517,0.0555468823497971,44
25-34,-0.2671976344562517,0.07953329665883518,44
35-44,-0.20322854325447273,0.18579760678494556,44
45-54,-0.22403949224014225,0.14374538279436913,44
55-64,-0.1652275100508744,0.2837956877887428,44
65+,-0.15581782817940684,0.3124907491048329,44
