Race,Metric,Correlation,P_value,N,Significant,Sig_Label
WHITE,Poverty Rate,-0.19391776448959852,0.5677748136667297,11,False,ns
BLACK,Poverty Rate,-0.5287065476475695,0.09450164136992821,11,False,ns
LATINE,Poverty Rate,-0.7496203109124089,0.007901473510576306,11,True,**
ASIAN,Poverty Rate,-0.3841208883249076,0.24348221937180947,11,False,ns
WHITE,Median Income,0.9277189862791091,3.867760703382679e-05,11,True,***
BLACK,Median Income,0.9088789583896684,0.00010667223090576497,11,True,***
LATINE,Median Income,0.9418508410330537,1.4835517452787214e-05,11,True,***
ASIAN,Median Income,0.9267705298973425,4.095725392058374e-05,11,True,***
