Race,Mean_Complexity,Median_Complexity,Std_Complexity
WHITE,1.5943028095733611,1.0,0.788860791349093
LATINE,1.5086404649028904,1.0,0.7141301864347072
BLACK,1.5823103556814604,1.0,0.7550680658070952
ASIAN,1.4237918215613383,1.0,0.6841861844407142
OTHER,,,
UNKNOWN,,,
