Year,Mean_Complexity,Median_Complexity,Std_Complexity
2012,1.303030303030303,1.0,0.5901068496100044
2013,1.3152,1.0,0.6030180505016158
2014,1.371069182389937,1.0,0.6739560874453802
2015,1.3166869671132766,1.0,0.6224081757631125
2016,1.3949483352468428,1.0,0.7272509825229245
2017,1.444558521560575,1.0,0.7480747197954154
2018,1.4814502529510962,1.0,0.7653310171929354
2019,1.5507868383404864,1.0,0.7972277191198363
2020,1.6112734864300626,1.0,0.7828294160805607
2021,1.6531732418524872,1.0,0.7759153709258546
2022,1.6373626373626373,1.0,0.7593954729551669
2023,1.657885849375211,2.0,0.7435393729503458
