center_lat,center_lon,std_distance,std_distance_km,n_points,Year
34.06188547403179,-118.24866699259373,0.26973101269211003,27.492008196502827,526,2012
34.06322166311098,-118.26671122680892,0.2618294529189081,26.6864799980621,621,2013
34.072816389719705,-118.26765786049224,0.2655449294205693,27.063925783618423,629,2014
34.07214777462161,-118.26028946138145,0.2669114493626092,27.20328673841463,817,2015
34.079755035244574,-118.25094416363189,0.27245799213443134,27.767568772544617,864,2016
34.07440796413887,-118.27285405889198,0.2658643376539232,27.09627220946806,969,2017
34.06460345118593,-118.25284755561545,0.25790299719441806,26.286108861452,1184,2018
34.06520176698074,-118.26876714854075,0.2504381005880233,25.525194860515395,1394,2019
34.06793329655812,-118.25633219735926,0.25498597650382954,25.988383295361242,2389,2020
34.06947866395907,-118.26330039120997,0.25256728794366506,25.74167746939785,2897,2021
34.06826727968997,-118.26877841491991,0.24444498018049554,24.91399619679767,3168,2022
34.06879882047121,-118.26888178404474,0.24750139334681853,25.225443472889076,2938,2023
