center_lat,center_lon,std_distance,std_distance_km,n_points,Year,lat_change,lon_change,distance_moved_km,direction_deg
34.06188547403179,-118.24866699259373,0.26973101269211003,27.492008196502827,526,2012,,,,
34.06322166311098,-118.26671122680892,0.2618294529189081,26.6864799980621,621,2013,0.0013361890791898645,-0.018044234215196298,1.66586646552787,-85.76493427410637
34.072816389719705,-118.26765786049224,0.2655449294205693,27.063925783618423,629,2014,0.009594726608725068,-0.0009466336833128253,1.0685652701733424,-5.634673105521487
34.07214777462161,-118.26028946138145,0.2669114493626092,27.20328673841463,817,2015,-0.0006686150980925731,0.0073683991107884594,0.6815399367945842,95.18487059194901
34.079755035244574,-118.25094416363189,0.27245799213443134,27.767568772544617,864,2016,0.007607260622961576,0.00934529774956161,1.204659358949505,50.85371648215352
34.07440796413887,-118.27285405889198,0.2658643376539232,27.09627220946806,969,2017,-0.005347071105703094,-0.02190989526009446,2.1000670028685313,-103.71484480082921
34.06460345118593,-118.25284755561545,0.25790299719441806,26.286108861452,1184,2018,-0.009804512952939604,0.02000650327653375,2.1374633739917726,116.10791696441719
34.06520176698074,-118.26876714854075,0.2504381005880233,25.525194860515395,1394,2019,0.0005983157948108442,-0.015919592925300208,1.4653517509552587,-87.84763073127245
34.06793329655812,-118.25633219735926,0.25498597650382954,25.988383295361242,2389,2020,0.0027315295773746584,0.01243495118148985,1.1829055374541853,77.6108642510347
34.06947866395907,-118.26330039120997,0.25256728794366506,25.74167746939785,2897,2021,0.0015453674009506813,-0.006968193850710236,0.6632754002449713,-77.4956424197884
34.06826727968997,-118.26877841491991,0.24444498018049554,24.91399619679767,3168,2022,-0.0012113842690979482,-0.005478023709940771,0.5213384505228248,-102.46944717965997
34.06879882047121,-118.26888178404474,0.24750139334681853,25.225443472889076,2938,2023,0.0005315407812389594,-0.0001033691248295554,0.059761688401397214,-11.004992140584699
