Age_Group,Black_Rate,White_Rate,Disparity_Ratio
35-39,552.7743630931415,427.943284697862,1.2917000519903312
40-44,561.8362378979471,396.564383923556,1.4167591964240787
45-49,545.5248632492969,453.3710146356616,1.2032636530319258
50-54,692.3272350871476,529.6542044490606,1.3071306321589526
55-59,788.383108018087,532.3592821020179,1.4809230054281393
60-64,732.1994842282924,355.4472035986034,2.0599387948910266
65-69,444.0318654354743,181.7812182787378,2.4426718537808965
70-74,123.24149734535612,63.83983260979483,1.930479644247178
