Race,Original_r,Detrended_r,Detrended_p
WHITE,-0.1939177644895994,0.5969746167879979,0.05249514561445629
BLACK,-0.5287065476475697,0.7872237699569216,0.004029374100628861
LATINE,-0.7496203109124092,0.7658314655577674,0.005997380916647261
ASIAN,-0.38412088832490754,0.5795013698043596,0.06169878171836979
