Race,Correlation,P_value,Significant,Correlation_Pre,P_value_Pre,Correlation_Post,P_value_Post
WHITE,-0.19391776448959852,0.5677748136667297,✗,-0.49792498244399336,0.5020750175560067,0.6138562673415826,0.14256885597000926
BLACK,-0.5287065476475695,0.09450164136992821,✗,-0.9923536975892583,0.007646302410741601,-0.05310792317578475,0.9099682798994976
LATINE,-0.7496203109124089,0.007901473510576306,✓,-0.9937522352508525,0.006247764749147455,-0.7126214253236602,0.07231558910629972
ASIAN,-0.3841208883249076,0.24348221937180947,✗,-0.5344513037736387,0.4655486962263613,0.10182789224211532,0.8280264347231305
