Race,Original_r,Partial_r,Partial_p
WHITE,-0.1939177644895994,0.1078744580816007,0.752225798259689
BLACK,-0.5287065476475697,0.38114163810651536,0.24746794465240798
LATINE,-0.7496203109124092,0.5122869186301592,0.10715323649471661
ASIAN,-0.38412088832490754,0.1577124045621898,0.6432707939536744
