Year,Median_Gross_Rent,Median_Home_Value
2012,1175,399500
2013,1205,420200
2014,1239,464400
2015,1279,497200
2016,1330,537900
2017,1402,588700
2018,1479,625200
2019,1577,644100
2021,1711,720300
2022,1805,805600
2023,1896,828700
