Year,WHITE_Poverty_Rate,BLACK_Poverty_Rate,LATINE_Poverty_Rate,ASIAN_Poverty_Rate
2012,10.78375969263853,25.404623565906743,24.742062597612595,12.444605393541353
2013,11.393207823596041,24.647242594438794,24.307965349142506,12.635333703995205
2014,11.131242005183212,24.78682976106925,23.87586806003349,12.687954508174313
2015,10.259488008508697,21.993391139421963,20.938849863074054,12.085225191604641
2016,9.90287776653236,22.09037949359485,20.113331435713615,12.296939619520264
2017,9.738044947487369,20.419218410152276,17.790254242055816,11.61905612032711
2018,9.65415206110907,20.734748402460106,16.762237336594925,10.554786003135415
2019,9.068508706269732,19.20537292868591,15.792199853483135,10.24716406707586
2021,10.409704348529154,20.817049680450708,16.07213883151028,11.632207890743551
2022,9.912096481162951,20.401549713954665,15.880817681352987,11.357328294354138
2023,10.76808281420348,20.942574502079292,14.971988855827654,11.680417116898582
