Race/Ethnicity,N,Median (IQR),Mean (SD)
LATINE,610,34 (27-49),37.6 (13.2)
ASIAN,85,38 (29-48),39.4 (12.7)
WHITE,724,40 (30-54),41.9 (14.0)
BLACK,1115,56 (48-62),53.8 (12.0)
