Year,Race,Substance,Count,Total,Percentage
2020,WHITE,Fentanyl,434,933,46.51661307609861
2020,WHITE,Prescription.opioids,106,933,11.361200428724544
2020,WHITE,Methamphetamine,455,933,48.767416934619504
2020,WHITE,Cocaine,74,933,7.931404072883172
2020,WHITE,Benzodiazepines,95,933,10.182207931404074
2020,WHITE,Alcohol,193,933,20.685959271168276
2020,WHITE,Others,61,933,6.538049303322616
2020,LATINE,Heroin,112,874,12.814645308924485
2020,LATINE,Fentanyl,379,874,43.36384439359268
2020,LATINE,Prescription.opioids,42,874,4.805491990846682
2020,LATINE,Methamphetamine,401,874,45.881006864988564
2020,LATINE,Cocaine,100,874,11.441647597254006
2020,LATINE,Benzodiazepines,40,874,4.576659038901601
2020,LATINE,Alcohol,254,874,29.061784897025174
2020,LATINE,Others,29,874,3.318077803203661
2020,BLACK,Heroin,34,435,7.816091954022989
2020,BLACK,Fentanyl,191,435,43.9080459770115
2020,BLACK,Prescription.opioids,23,435,5.287356321839081
2020,BLACK,Methamphetamine,199,435,45.74712643678161
2020,BLACK,Cocaine,145,435,33.33333333333333
2020,BLACK,Benzodiazepines,19,435,4.3678160919540225
2020,BLACK,Alcohol,77,435,17.70114942528736
2020,BLACK,Others,16,435,3.67816091954023
2020,ASIAN,Heroin,4,79,5.063291139240507
2020,ASIAN,Fentanyl,37,79,46.835443037974684
2020,ASIAN,Prescription.opioids,2,79,2.5316455696202533
2020,ASIAN,Methamphetamine,33,79,41.77215189873418
2020,ASIAN,Cocaine,9,79,11.39240506329114
2020,ASIAN,Benzodiazepines,3,79,3.79746835443038
2020,ASIAN,Alcohol,18,79,22.78481012658228
2020,ASIAN,Others,1,79,1.2658227848101267
2021,WHITE,Heroin,113,1146,9.860383944153577
2021,WHITE,Fentanyl,667,1146,58.20244328097731
2021,WHITE,Prescription.opioids,77,1146,6.719022687609074
2021,WHITE,Methamphetamine,591,1146,51.57068062827225
2021,WHITE,Cocaine,138,1146,12.041884816753926
2021,WHITE,Benzodiazepines,102,1146,8.900523560209423
2021,WHITE,Alcohol,230,1146,20.069808027923212
2021,WHITE,Others,58,1146,5.06108202443281
2021,LATINE,Heroin,73,1082,6.7467652495378925
2021,LATINE,Fentanyl,589,1082,54.4362292051756
2021,LATINE,Prescription.opioids,42,1082,3.8817005545286505
2021,LATINE,Methamphetamine,517,1082,47.781885397412196
2021,LATINE,Cocaine,96,1082,8.872458410351202
2021,LATINE,Benzodiazepines,61,1082,5.6377079482439925
2021,LATINE,Alcohol,333,1082,30.776340110905732
2021,LATINE,Others,23,1082,2.1256931608133085
2021,BLACK,Heroin,20,536,3.731343283582089
2021,BLACK,Fentanyl,281,536,52.42537313432835
2021,BLACK,Prescription.opioids,15,536,2.798507462686567
2021,BLACK,Methamphetamine,266,536,49.62686567164179
2021,BLACK,Cocaine,159,536,29.66417910447761
2021,BLACK,Benzodiazepines,17,536,3.171641791044776
2021,BLACK,Alcohol,90,536,16.791044776119403
2021,BLACK,Others,20,536,3.731343283582089
2021,ASIAN,Heroin,2,72,2.7777777777777777
2021,ASIAN,Fentanyl,30,72,41.66666666666667
2021,ASIAN,Prescription.opioids,1,72,1.3888888888888888
2021,ASIAN,Methamphetamine,37,72,51.388888888888886
2021,ASIAN,Cocaine,10,72,13.88888888888889
2021,ASIAN,Benzodiazepines,5,72,6.944444444444445
2021,ASIAN,Alcohol,16,72,22.22222222222222
2021,ASIAN,Others,7,72,9.722222222222223
2022,WHITE,Heroin,95,1136,8.362676056338028
2022,WHITE,Fentanyl,667,1136,58.71478873239436
2022,WHITE,Prescription.opioids,76,1136,6.690140845070422
2022,WHITE,Methamphetamine,627,1136,55.193661971830984
2022,WHITE,Cocaine,106,1136,9.330985915492958
2022,WHITE,Benzodiazepines,89,1136,7.834507042253522
2022,WHITE,Alcohol,190,1136,16.725352112676056
2022,WHITE,Others,67,1136,5.897887323943662
2022,LATINE,Heroin,68,1208,5.629139072847682
2022,LATINE,Fentanyl,681,1208,56.37417218543046
2022,LATINE,Prescription.opioids,33,1208,2.7317880794701987
2022,LATINE,Methamphetamine,570,1208,47.18543046357616
2022,LATINE,Cocaine,119,1208,9.850993377483444
2022,LATINE,Benzodiazepines,43,1208,3.5596026490066226
2022,LATINE,Alcohol,343,1208,28.394039735099337
2022,LATINE,Others,24,1208,1.9867549668874174
2022,BLACK,Heroin,19,630,3.015873015873016
2022,BLACK,Fentanyl,364,630,57.77777777777777
2022,BLACK,Prescription.opioids,26,630,4.1269841269841265
2022,BLACK,Methamphetamine,333,630,52.85714285714286
2022,BLACK,Cocaine,202,630,32.06349206349206
2022,BLACK,Benzodiazepines,26,630,4.1269841269841265
2022,BLACK,Alcohol,87,630,13.80952380952381
2022,BLACK,Others,24,630,3.8095238095238098
2022,ASIAN,Heroin,2,95,2.1052631578947367
2022,ASIAN,Fentanyl,41,95,43.15789473684211
2022,ASIAN,Prescription.opioids,4,95,4.2105263157894735
2022,ASIAN,Methamphetamine,56,95,58.94736842105262
2022,ASIAN,Cocaine,15,95,15.789473684210526
2022,ASIAN,Benzodiazepines,4,95,4.2105263157894735
2022,ASIAN,Alcohol,14,95,14.736842105263156
2022,ASIAN,Others,7,95,7.368421052631578
2023,WHITE,Heroin,57,1007,5.660377358490567
2023,WHITE,Fentanyl,623,1007,61.8669314796425
2023,WHITE,Prescription.opioids,57,1007,5.660377358490567
2023,WHITE,Methamphetamine,547,1007,54.31976166832175
2023,WHITE,Cocaine,119,1007,11.817279046673287
2023,WHITE,Benzodiazepines,67,1007,6.653426017874876
2023,WHITE,Alcohol,179,1007,17.775571002979145
2023,WHITE,Others,63,1007,6.256206554121152
2023,LATINE,Heroin,50,1144,4.370629370629371
2023,LATINE,Fentanyl,663,1144,57.95454545454546
2023,LATINE,Prescription.opioids,30,1144,2.6223776223776225
2023,LATINE,Methamphetamine,590,1144,51.57342657342657
2023,LATINE,Cocaine,106,1144,9.265734265734265
2023,LATINE,Benzodiazepines,21,1144,1.8356643356643356
2023,LATINE,Alcohol,335,1144,29.28321678321678
2023,LATINE,Others,21,1144,1.8356643356643356
2023,BLACK,Heroin,14,606,2.31023102310231
2023,BLACK,Fentanyl,380,606,62.70627062706271
2023,BLACK,Prescription.opioids,19,606,3.1353135313531353
2023,BLACK,Methamphetamine,336,606,55.44554455445545
2023,BLACK,Cocaine,209,606,34.48844884488449
2023,BLACK,Benzodiazepines,9,606,1.4851485148514851
2023,BLACK,Alcohol,81,606,13.366336633663368
2023,BLACK,Others,12,606,1.9801980198019802
2023,ASIAN,Heroin,2,87,2.2988505747126435
2023,ASIAN,Fentanyl,40,87,45.97701149425287
2023,ASIAN,Prescription.opioids,3,87,3.4482758620689653
2023,ASIAN,Methamphetamine,37,87,42.5287356321839
2023,ASIAN,Cocaine,18,87,20.689655172413794
2023,ASIAN,Benzodiazepines,7,87,8.045977011494253
2023,ASIAN,Alcohol,16,87,18.39080459770115
2023,ASIAN,Others,10,87,11.494252873563218
