Race/Ethnicity,N,Median (IQR),Mean (SD)
ASIAN,239,41 (33-49),41.2 (11.1)
LATINE,2836,42 (32-51),42.1 (12.3)
BLACK,1431,44 (34-56),45.0 (13.4)
WHITE,3396,47 (35-56),45.5 (13.0)
