Race/Ethnicity,N,Median (IQR),Mean (SD)
LATINE,2556,34 (27-45),36.3 (12.3)
ASIAN,175,34 (28-44),36.0 (11.4)
WHITE,2816,37 (29-49),39.2 (12.8)
BLACK,1308,41 (31-55),42.9 (14.5)
