Race,CV,Mean_Income,Std_Income
WHITE,0.0523,101861.82063747426,5327.577573783994
BLACK,0.0662,56280.303961547375,3725.251835380841
LATINE,0.1125,65831.83783310781,7406.890481874926
ASIAN,0.0736,92697.8450914479,6818.761504128559
