Year,Deaths,LFPR
2012,528,63.699999999999996
2013,625,63.25833333333333
2014,636,62.88333333333333
2015,821,62.65833333333333
2016,871,62.800000000000004
2017,974,62.85
2018,1186,62.88333333333333
2019,1398,63.1
2020,2395,61.74166666666667
2021,2915,61.675000000000004
2022,3185,62.225
2023,2961,62.61666666666667
